Brain-region,NLL,EV,MSLL,BIC,Skew,Kurtosis
lh_G_temp_sup-Plan_polar_thickness,3047.884108,0.179777764,-0.097667866,6135.419194,-0.075713493,0.633817798
lh_G_temp_sup-Plan_tempo_thickness,-3739.632185,0.332780093,-0.172282328,-7439.613391,0.095544104,0.340939671
lh_G_temporal_inf_thickness,-6121.570148,0.307537614,-0.181409245,-12203.48932,-0.062374936,0.402652925
lh_G_temporal_middle_thickness,-5497.768523,0.339100224,-0.205957857,-10955.88607,-0.226579544,0.938978916
lh_Lat_Fis-ant-Horizont_thickness,903.4800696,0.237113716,-0.107398167,1846.611117,0.717933844,1.242645627
lh_Lat_Fis-ant-Vertical_thickness,-978.0958833,0.24204927,-0.119725215,-1916.541185,0.655410464,1.261242266
lh_Lat_Fis-post_thickness,-8687.340112,0.364251294,-0.218263073,-17335.02925,0.358529905,2.22686329
lh_Pole_occipital_thickness,-6854.05239,0.401076927,-0.323933643,-13668.4538,0.253224145,0.820249639
lh_Pole_temporal_thickness,-2624.359196,0.12667498,-0.05290446,-5209.067413,-0.204147948,0.896543155
lh_S_calcarine_thickness,-12216.5804,0.556973702,-0.4193888,-24393.50982,0.336795316,0.569426837
lh_S_central_thickness,-11545.50261,0.459917531,-0.305164549,-23051.35425,0.133851003,0.935782985
lh_S_cingul-Marginalis_thickness,-9588.186767,0.516071603,-0.347490379,-19136.72256,0.064917667,0.516559288
lh_S_circular_insula_ant_thickness,-3771.558189,0.26429773,-0.147291157,-7503.465796,0.1053694,0.776624131
lh_S_circular_insula_inf_thickness,-4047.832949,0.346555649,-0.182616642,-8056.01492,0.135937342,0.545446438
lh_S_circular_insula_sup_thickness,-12531.42607,0.462888674,-0.295887616,-25023.20135,-0.091790277,0.624876551
lh_S_collat_transv_ant_thickness,-1214.62751,0.13666398,-0.045168314,-2389.604042,0.514389329,1.147267515
lh_S_collat_transv_post_thickness,-5298.71386,0.256141275,-0.150804457,-10557.77694,0.315602841,1.248117156
lh_S_front_inf_thickness,-12184.78289,0.486125244,-0.316096261,-24329.91479,-0.083283913,0.924794953
lh_S_front_middle_thickness,-9925.064983,0.426735814,-0.265350138,-19810.47899,0.053896759,1.269162179
lh_S_front_sup_thickness,-11649.38669,0.457173351,-0.293302723,-23259.1224,-0.165764464,1.265376775
lh_S_interm_prim-Jensen_thickness,5284.039485,0.131317204,-0.064476803,10607.72777,1.125387275,2.485893672
lh_S_intrapariet&P_trans_thickness,-12731.26699,0.536344887,-0.363754151,-25422.88301,-0.07892102,0.852919809
lh_S_oc_middle&Lunatus_thickness,-8697.250736,0.303417582,-0.18552627,-17354.85049,-0.002252361,1.122542485
lh_S_oc_sup&transversal_thickness,-10704.85767,0.396214247,-0.241113141,-21370.06436,0.064424929,0.439487185
lh_S_occipital_ant_thickness,-7144.978978,0.241506625,-0.132447515,-14250.30698,0.201455502,0.593780306
lh_S_oc-temp_lat_thickness,-7559.493757,0.236287944,-0.127344795,-15079.33654,0.239683115,0.481230786
lh_S_oc-temp_med&Lingual_thickness,-10300.62304,0.356600853,-0.214604658,-20561.59531,0.042193116,0.342623756
lh_S_orbital_lateral_thickness,-1843.260398,0.239432902,-0.11616998,-3646.869817,0.585225785,1.430026685
lh_S_orbital_med-olfact_thickness,-4416.491253,0.200915938,-0.10853361,-8793.334898,2.63202798,26.46325798
lh_S_orbital-H_Shaped_thickness,-5810.05938,0.322941298,-0.175488161,-11580.46778,0.28159674,0.852556784
lh_S_parieto_occipital_thickness,-10709.80443,0.473410656,-0.31272124,-21379.95788,0.033591064,0.489451043
lh_S_pericallosal_thickness,3076.215794,0.099821849,-0.033837392,6192.082567,0.735415949,1.246110676
lh_S_postcentral_thickness,-11140.81145,0.52196294,-0.35310005,-22241.97193,-0.051528877,0.955479052
lh_S_precentral-inf-part_thickness,-10404.00465,0.417884703,-0.25389039,-20768.35871,-0.071160047,0.724699854
lh_S_precentral-sup-part_thickness,-8607.594218,0.344819028,-0.204357537,-17175.53765,-0.226676019,1.25523849
lh_S_suborbital_thickness,566.1769028,0.190996168,-0.084726093,1172.004784,0.511977121,0.837468487
lh_S_subparietal_thickness,-10307.92009,0.390113082,-0.233985866,-20576.18959,0.171425576,0.720924146
lh_S_temporal_inf_thickness,-8739.852245,0.300884241,-0.168405053,-17440.05351,0.298095301,0.751335391
lh_S_temporal_sup_thickness,-13780.97744,0.526404081,-0.356282446,-27522.3039,-0.126078602,0.675137906
